Date,Obs,STA_SEQ,Year,Month,Day
4/28/17,4,15244,2017,4,28
4/29/17,4,15244,2017,4,29
4/30/17,4,15244,2017,4,30
5/1/17,4,15244,2017,5,1
5/2/17,4,15244,2017,5,2
5/3/17,4,15244,2017,5,3
5/4/17,4,15244,2017,5,4
5/5/17,5,15244,2017,5,5
5/6/17,4,15244,2017,5,6
5/7/17,4,15244,2017,5,7
5/8/17,4,15244,2017,5,8
5/9/17,4,15244,2017,5,9
5/10/17,4,15244,2017,5,10
5/11/17,4,15244,2017,5,11
5/12/17,4,15244,2017,5,12
5/13/17,4,15244,2017,5,13
5/14/17,5,15244,2017,5,14
5/15/17,4,15244,2017,5,15
5/16/17,4,15244,2017,5,16
5/17/17,4,15244,2017,5,17
5/18/17,4,15244,2017,5,18
5/19/17,4,15244,2017,5,19
5/20/17,4,15244,2017,5,20
5/21/17,4,15244,2017,5,21
5/22/17,4,15244,2017,5,22
5/23/17,4,15244,2017,5,23
5/24/17,4,15244,2017,5,24
5/25/17,4,15244,2017,5,25
5/26/17,5,15244,2017,5,26
5/27/17,4,15244,2017,5,27
5/28/17,4,15244,2017,5,28
5/29/17,4,15244,2017,5,29
5/30/17,4,15244,2017,5,30
5/31/17,4,15244,2017,5,31
6/1/17,4,15244,2017,6,1
6/2/17,4,15244,2017,6,2
6/3/17,4,15244,2017,6,3
6/4/17,4,15244,2017,6,4
6/5/17,4,15244,2017,6,5
6/6/17,4,15244,2017,6,6
6/7/17,4,15244,2017,6,7
6/8/17,4,15244,2017,6,8
6/9/17,4,15244,2017,6,9
6/10/17,4,15244,2017,6,10
6/11/17,4,15244,2017,6,11
6/12/17,4,15244,2017,6,12
6/13/17,4,15244,2017,6,13
6/14/17,3,15244,2017,6,14
6/15/17,3,15244,2017,6,15
6/16/17,3,15244,2017,6,16
6/17/17,3,15244,2017,6,17
6/18/17,3,15244,2017,6,18
6/19/17,3,15244,2017,6,19
6/20/17,4,15244,2017,6,20
6/21/17,3,15244,2017,6,21
6/22/17,3,15244,2017,6,22
6/23/17,3,15244,2017,6,23
6/24/17,3,15244,2017,6,24
6/25/17,3,15244,2017,6,25
6/26/17,3,15244,2017,6,26
6/27/17,3,15244,2017,6,27
6/28/17,3,15244,2017,6,28
6/29/17,3,15244,2017,6,29
6/30/17,3,15244,2017,6,30
7/1/17,4,15244,2017,7,1
7/2/17,4,15244,2017,7,2
7/3/17,4,15244,2017,7,3
7/4/17,4,15244,2017,7,4
7/5/17,3,15244,2017,7,5
7/6/17,3,15244,2017,7,6
7/7/17,3,15244,2017,7,7
7/8/17,3,15244,2017,7,8
7/9/17,3,15244,2017,7,9
7/10/17,3,15244,2017,7,10
7/11/17,3,15244,2017,7,11
7/12/17,3,15244,2017,7,12
7/13/17,3,15244,2017,7,13
7/14/17,4,15244,2017,7,14
7/15/17,4,15244,2017,7,15
7/16/17,4,15244,2017,7,16
7/17/17,3,15244,2017,7,17
7/18/17,3,15244,2017,7,18
7/19/17,3,15244,2017,7,19
7/20/17,3,15244,2017,7,20
7/21/17,3,15244,2017,7,21
7/22/17,3,15244,2017,7,22
7/23/17,3,15244,2017,7,23
7/24/17,4,15244,2017,7,24
7/25/17,3,15244,2017,7,25
7/26/17,3,15244,2017,7,26
7/27/17,3,15244,2017,7,27
7/28/17,3,15244,2017,7,28
7/29/17,3,15244,2017,7,29
7/30/17,3,15244,2017,7,30
7/31/17,3,15244,2017,7,31
8/1/17,2,15244,2017,8,1
8/2/17,2,15244,2017,8,2
8/3/17,4,15244,2017,8,3
8/4/17,4,15244,2017,8,4
8/5/17,4,15244,2017,8,5
8/6/17,3,15244,2017,8,6
8/7/17,3,15244,2017,8,7
8/8/17,3,15244,2017,8,8
8/9/17,3,15244,2017,8,9
8/10/17,3,15244,2017,8,10
8/11/17,3,15244,2017,8,11
8/12/17,4,15244,2017,8,12
8/13/17,3,15244,2017,8,13
8/14/17,3,15244,2017,8,14
8/15/17,3,15244,2017,8,15
8/16/17,3,15244,2017,8,16
8/17/17,3,15244,2017,8,17
8/18/17,3,15244,2017,8,18
8/19/17,3,15244,2017,8,19
8/20/17,3,15244,2017,8,20
8/21/17,3,15244,2017,8,21
8/22/17,3,15244,2017,8,22
8/23/17,3,15244,2017,8,23
8/24/17,3,15244,2017,8,24
8/25/17,2,15244,2017,8,25
8/26/17,2,15244,2017,8,26
8/27/17,2,15244,2017,8,27
8/28/17,2,15244,2017,8,28
8/29/17,2,15244,2017,8,29
8/30/17,2,15244,2017,8,30
8/31/17,2,15244,2017,8,31
9/1/17,2,15244,2017,9,1
9/2/17,1,15244,2017,9,2
9/3/17,3,15244,2017,9,3
9/4/17,2,15244,2017,9,4
9/5/17,2,15244,2017,9,5
9/6/17,4,15244,2017,9,6
9/7/17,4,15244,2017,9,7
9/8/17,4,15244,2017,9,8
9/9/17,3,15244,2017,9,9
9/10/17,3,15244,2017,9,10
9/11/17,3,15244,2017,9,11
9/12/17,3,15244,2017,9,12
9/13/17,3,15244,2017,9,13
9/14/17,3,15244,2017,9,14
9/15/17,3,15244,2017,9,15
9/16/17,3,15244,2017,9,16
9/17/17,3,15244,2017,9,17
9/18/17,4,15244,2017,9,18
9/19/17,4,15244,2017,9,19
9/20/17,4,15244,2017,9,20
9/21/17,4,15244,2017,9,21
9/22/17,2,15244,2017,9,22
9/23/17,2,15244,2017,9,23
9/24/17,2,15244,2017,9,24
9/25/17,2,15244,2017,9,25
9/26/17,2,15244,2017,9,26
9/27/17,2,15244,2017,9,27
9/28/17,2,15244,2017,9,28
9/29/17,1,15244,2017,9,29
9/30/17,4,15244,2017,9,30
10/1/17,2,15244,2017,10,1
10/2/17,1,15244,2017,10,2
10/3/17,1,15244,2017,10,3
10/4/17,1,15244,2017,10,4
10/5/17,1,15244,2017,10,5
10/6/17,1,15244,2017,10,6
10/7/17,1,15244,2017,10,7
10/8/17,4,15244,2017,10,8
10/9/17,4,15244,2017,10,9
