"","01118300","01121000","01123000","01125490","01187300","01188000","01193500","01194000","01194500","01195100","01208950","01208990","index","gagecnt"
"2017-01-01",4,4,4,5,3,3,4,4,4,4,4,4,3.91666666666667,12
"2017-01-02",4,4,4,5,2,2,3,4,4,4,3,3,3.5,12
"2017-01-03",4,4,4,5,4,4,3,4,4,4,4,4,4,12
"2017-01-04",5,5,5,NA,5,6,4,5,5,5,5,4,4.90909090909091,11
"2017-01-05",4,4,4,NA,5,4,4,4,4,4,4,4,4.09090909090909,11
"2017-01-06",4,4,4,NA,4,4,4,4,4,4,4,4,4,11
"2017-01-07",4,4,4,5,4,4,3,4,4,4,4,4,4,12
"2017-01-08",4,4,4,5,3,4,3,4,5,4,4,4,4,12
"2017-01-09",4,4,4,4,3,NA,2,4,5,4,4,3,3.72727272727273,11
"2017-01-10",4,4,4,5,3,NA,3,4,6,4,3,3,3.90909090909091,11
"2017-01-11",6,4,4,5,4,NA,4,4,6,4,4,4,4.45454545454545,11
"2017-01-12",6,5,5,5,5,NA,5,5,6,5,5,4,5.09090909090909,11
"2017-01-13",6,5,5,5,6,NA,4,5,5,5,4,4,4.90909090909091,11
"2017-01-14",5,4,5,5,5,4,4,4,4,4,4,4,4.33333333333333,12
"2017-01-15",4,4,4,5,4,4,4,4,4,4,4,4,4.08333333333333,12
"2017-01-16",4,4,4,5,4,4,4,4,4,4,4,4,4.08333333333333,12
"2017-01-17",4,4,4,4,4,4,3,4,4,4,4,4,3.91666666666667,12
"2017-01-18",4,4,4,4,4,5,4,4,4,4,4,4,4.08333333333333,12
"2017-01-19",4,4,4,5,4,4,4,4,4,4,4,4,4.08333333333333,12
"2017-01-20",4,4,4,5,4,4,3,4,4,4,4,4,4,12
"2017-01-21",4,4,4,4,4,4,3,4,4,4,4,4,3.91666666666667,12
"2017-01-22",4,4,4,4,4,4,3,4,4,4,4,4,3.91666666666667,12
"2017-01-23",4,4,4,4,4,4,3,4,4,4,4,4,3.91666666666667,12
"2017-01-24",5,4,5,4,4,4,5,5,5,5,5,5,4.66666666666667,12
"2017-01-25",5,5,5,5,4,4,5,5,5,4,5,5,4.75,12
"2017-01-26",5,4,4,5,4,4,4,4,5,4,4,4,4.25,12
"2017-01-27",5,4,4,5,4,4,4,4,5,4,4,4,4.25,12
"2017-01-28",4,4,4,5,4,4,4,4,4,4,4,4,4.08333333333333,12
"2017-01-29",4,4,4,5,4,4,4,4,4,4,4,4,4.08333333333333,12
"2017-01-30",4,4,4,4,4,4,4,4,4,4,4,4,4,12
"2017-01-31",4,4,4,4,3,4,4,4,4,4,4,4,3.91666666666667,12
"2017-02-01",4,4,4,4,4,4,4,4,4,4,4,4,4,12
"2017-02-02",4,4,4,4,3,4,4,4,4,4,4,4,3.91666666666667,12
"2017-02-03",4,4,4,4,3,3,3,4,4,4,4,4,3.75,12
"2017-02-04",4,3,3,4,3,3,3,4,4,3,4,4,3.5,12
"2017-02-05",4,3,3,4,3,3,3,4,4,3,3,4,3.41666666666667,12
"2017-02-06",4,3,3,4,3,3,3,4,4,4,3,4,3.5,12
"2017-02-07",4,3,3,4,3,4,3,3,4,4,4,4,3.58333333333333,12
"2017-02-08",4,4,4,4,3,4,4,4,4,4,4,4,3.91666666666667,12
"2017-02-09",4,4,4,4,4,4,4,4,4,4,4,4,4,12
