"","sdate","gagecnt","variable","value"
"1",2017-01-01,12,"01118300",4
"2",2017-01-02,12,"01118300",4
"3",2017-01-03,12,"01118300",4
"4",2017-01-04,12,"01118300",5
"5",2017-01-05,12,"01118300",4
"6",2017-01-06,12,"01118300",4
"7",2017-01-07,12,"01118300",4
"8",2017-01-08,12,"01118300",4
"9",2017-01-09,11,"01118300",4
"10",2017-01-10,11,"01118300",4
"11",2017-01-11,11,"01118300",5
"12",2017-01-12,11,"01118300",6
"13",2017-01-13,11,"01118300",6
"14",2017-01-14,12,"01118300",5
"15",2017-01-15,12,"01118300",4
"16",2017-01-16,12,"01118300",4
"17",2017-01-17,12,"01118300",4
"18",2017-01-18,12,"01118300",4
"19",2017-01-19,12,"01118300",4
"20",2017-01-20,12,"01118300",4
"21",2017-01-21,12,"01118300",4
"22",2017-01-22,12,"01118300",4
"23",2017-01-23,12,"01118300",4
"24",2017-01-24,12,"01118300",5
"25",2017-01-25,12,"01118300",5
"26",2017-01-26,12,"01118300",5
"27",2017-01-27,12,"01118300",5
"28",2017-01-28,12,"01118300",4
"29",2017-01-29,12,"01118300",4
"30",2017-01-30,12,"01118300",4
"31",2017-01-31,12,"01118300",4
"32",2017-02-01,12,"01118300",4
"33",2017-02-02,12,"01118300",4
"34",2017-02-03,12,"01118300",4
"35",2017-02-04,12,"01118300",4
"36",2017-02-05,12,"01118300",4
"37",2017-02-06,12,"01118300",4
"38",2017-02-07,12,"01118300",4
"39",2017-02-08,12,"01118300",4
"40",2017-02-09,12,"01118300",4
"41",2017-02-10,12,"01118300",4
"42",2017-02-11,12,"01118300",4
"43",2017-02-12,12,"01118300",4
"44",2017-02-13,12,"01118300",4
"45",2017-02-14,12,"01118300",4
"46",2017-02-15,12,"01118300",4
"47",2017-02-16,12,"01118300",4
"48",2017-02-17,12,"01118300",4
"49",2017-02-18,12,"01118300",4
"50",2017-02-19,11,"01118300",4
"51",2017-02-20,12,"01118300",4
"52",2017-02-21,12,"01118300",4
"53",2017-02-22,12,"01118300",4
"54",2017-02-23,12,"01118300",4
"55",2017-02-24,12,"01118300",4
"56",2017-02-25,12,"01118300",4
"57",2017-02-26,12,"01118300",4
"58",2017-02-27,12,"01118300",4
"59",2017-02-28,12,"01118300",4
"60",2017-03-01,12,"01118300",4
"61",2017-03-02,12,"01118300",4
"62",2017-03-03,12,"01118300",4
"63",2017-03-04,12,"01118300",3
"64",2017-03-05,12,"01118300",3
"65",2017-03-06,12,"01118300",2
"66",2017-03-07,12,"01118300",3
"67",2017-03-08,12,"01118300",4
"68",2017-03-09,12,"01118300",4
"69",2017-03-10,12,"01118300",3
"70",2017-03-11,12,"01118300",3
"71",2017-03-12,12,"01118300",2
"72",2017-03-13,12,"01118300",2
"73",2017-03-14,11,"01118300",4
"74",2017-03-15,12,"01118300",4
"75",2017-03-16,12,"01118300",4
"76",2017-03-17,12,"01118300",4
"77",2017-03-18,12,"01118300",4
"78",2017-03-19,12,"01118300",4
"79",2017-03-20,12,"01118300",4
"80",2017-03-21,12,"01118300",4
"81",2017-03-22,12,"01118300",4
"82",2017-03-23,12,"01118300",4
"83",2017-03-24,12,"01118300",4
"84",2017-03-25,12,"01118300",4
"85",2017-03-26,12,"01118300",3
"86",2017-03-27,12,"01118300",4
"87",2017-03-28,12,"01118300",4
"88",2017-03-29,11,"01118300",4
"89",2017-03-30,12,"01118300",4
"90",2017-03-31,12,"01118300",4
"91",2017-04-01,12,"01118300",6
"92",2017-04-02,12,"01118300",5
"93",2017-04-03,12,"01118300",4
"94",2017-04-04,12,"01118300",7
"95",2017-04-05,12,"01118300",5
"96",2017-04-06,12,"01118300",6
"97",2017-04-07,12,"01118300",6
"98",2017-04-08,12,"01118300",5
"99",2017-04-09,12,"01118300",4
"100",2017-04-10,12,"01118300",4
"101",2017-04-11,12,"01118300",4
"102",2017-04-12,12,"01118300",4
"103",2017-04-13,12,"01118300",4
"104",2017-04-14,12,"01118300",4
"105",2017-04-15,12,"01118300",4
"106",2017-04-16,12,"01118300",4
"107",2017-04-17,12,"01118300",4
"108",2017-04-18,12,"01118300",4
"109",2017-04-19,12,"01118300",4
"110",2017-04-20,12,"01118300",4
"111",2017-04-21,12,"01118300",4
"112",2017-04-22,12,"01118300",4
"113",2017-04-23,12,"01118300",4
"114",2017-04-24,12,"01118300",4
"115",2017-04-25,12,"01118300",4
"116",2017-04-26,12,"01118300",7
