"site_no","STA_SEQ","dist_M","Station_Name","YLat","XLong","agency_cd","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd"
"01118300",15796,3.89526654917435,"PENDLETON HILL BROOK",41.4748,-71.8342,"USGS","PENDLETON HILL BROOK NEAR CLARKS FALLS, CT","ST","41.4748222","-71.8342361","H","NAD83"," 152.90"," .1","NGVD29","01090005"
"01121000",15801,37.962424106357,"MOUNT HOPE RIVER",41.8436,-72.1694,"USGS","MOUNT HOPE RIVER NEAR WARRENVILLE, CT","ST","41.8437089","-72.1689662","U","NAD83"," 334.70",".01","NAVD88","01100002"
"01121000",18421,1103.77232034906,"Mount Hope River",41.8533,-72.16559,"USGS","MOUNT HOPE RIVER NEAR WARRENVILLE, CT","ST","41.8437089","-72.1689662","U","NAD83"," 334.70",".01","NAVD88","01100002"
"01184490",16322,9468.94498750363,"Ogden Brook",41.8456,-72.4816,"USGS","BROAD BROOK AT BROAD BROOK, CT","ST","41.9138972","-72.5497","H","NAD83"," 46.21"," 01","NGVD29","01080205"
"01184490",19707,10077.4981086009,"Ogden Brook",41.843032,-72.474041,"USGS","BROAD BROOK AT BROAD BROOK, CT","ST","41.9138972","-72.5497","H","NAD83"," 46.21"," 01","NGVD29","01080205"
"01187300",15240,224.987390569622,"Hubbard Brook",42.0356,-72.9384,"USGS","HUBBARD RIVER NEAR WEST HARTLAND, CT","ST","42.0375","-72.93932778","H","NAD83"," 594.57",".01","NGVD29","01080207"
"01188000",19657,17.6980739950879,"Bunnell Brook",41.786255,-72.964622,"USGS","BUNNELL BROOK NEAR BURLINGTON, CT","ST","41.786209","-72.9648261","S","NAD83"," 714.00"," 5.","NGVD29","01080207"
"01188090",16046,3845.74572030853,"Chidsey Brook",41.7848,-72.8624,"USGS","FARMINGTON RIVER AT UNIONVILLE, CT","ST","41.7555472","-72.8870417","H","NAD83"," 178.20"," 01","NGVD29","01080207"
"01189995",15499,7194.88802207641,"West Branch Salmon Brook",41.94096,-72.834302,"USGS","FARMINGTON RIVER AT TARIFFVILLE, CT","ST","41.9082833","-72.75935278","H","NAD83"," 130.21",".01","NGVD29","01080207"
"01194500",17534,13955.5778701611,"Bride Brook",41.32329,-72.24194,"USGS","EAST BRANCH EIGHTMILE RIVER NEAR NORTH LYME, CT","ST","41.42751667","-72.33477778","H","NAD83"," 53.97",".01","NGVD29","01080205"
